Date,外来患者数,通リハ,自病院救急,在宅合計,訪問その他,高圧酸素（救急分）,紹介数,入院患者数,新入院,訪問診療,分娩,癌新登録,外来新患,療養,救急からの新入院,訪問看護,ドック(人数),外来初診算定,外来からの新入院,訪問介護,透析施行,外来癌化学,救急,紹介からの新入院,訪問リハ,院内健診(人数),高圧酸素
2012/1/31,13792,363,0,0,0,43,419,6488,435,0,0,20,1289,843,141,0,255,2251,265,0,1303,129,441,29,0,98,53
2012/2/28,14401,378,0,0,0,57,475,6817,406,0,0,25,1312,908,109,0,287,2324,268,0,1248,137,371,29,0,156,71
2012/3/31,14235,400,0,0,0,18,544,6492,345,0,0,35,1419,1068,65,0,334,2344,257,0,1231,152,301,23,0,211,24
2012/4/30,12909,386,0,0,0,42,451,6101,388,0,0,17,1162,1098,84,0,308,2096,277,0,1139,130,347,27,0,112,87
2012/5/31,13523,433,0,0,0,41,423,6831,380,0,0,33,1302,1176,71,0,337,2167,286,0,1230,168,345,23,0,135,96
2012/6/30,14301,405,0,0,0,2,496,6481,354,0,0,32,1355,1309,73,0,404,2298,269,0,1176,140,312,12,0,256,15
2012/7/31,14428,379,0,0,0,42,510,6914,409,0,0,28,1423,1338,112,0,373,2260,280,0,1209,143,457,17,0,159,101
2012/8/31,14972,401,0,0,0,40,508,7194,419,0,0,18,1439,1266,90,0,312,2401,314,0,1306,153,425,15,0,155,70
2012/9/30,13468,358,4,0,0,25,430,6588,349,0,0,12,1257,1118,93,0,333,2059,234,0,1211,116,399,22,0,131,101
2012/10/31,16267,429,0,0,0,65,551,6832,396,0,0,24,1435,1235,103,0,378,2401,270,0,1298,137,403,23,0,210,117
2012/11/30,16299,369,0,0,0,52,567,7033,428,0,0,32,1666,1155,104,0,420,2610,304,0,1264,135,441,20,0,225,128
2012/12/31,15263,348,28,0,0,36,566,7247,397,0,0,42,1495,1232,106,0,301,2357,275,0,1245,111,426,16,0,136,120
2013/1/31,13984,343,1,0,0,35,433,7496,430,0,0,20,1331,1351,111,0,307,2641,298,0,1328,132,424,21,0,66,105
2013/2/28,13936,299,0,0,0,18,464,6550,357,0,0,24,1288,1179,74,0,318,2264,259,0,1256,111,367,24,0,191,81
2013/3/31,15086,364,0,0,0,20,493,7187,342,0,0,22,1361,1330,67,0,402,2308,248,0,1354,133,335,27,0,199,96
2013/4/30,14756,408,0,0,0,30,493,6734,367,0,0,14,1303,1264,69,0,403,2073,274,0,1358,128,312,24,0,121,133
2013/5/31,15131,391,2,0,0,3,475,7045,357,0,0,12,1394,1316,85,0,360,2300,259,0,1369,173,383,13,0,147,93
2013/6/30,14744,376,0,0,0,5,559,6941,368,0,0,24,1336,1272,68,0,377,2238,278,0,1295,121,384,22,0,240,100
2013/7/31,16160,441,1,0,0,11,609,7194,425,0,0,18,1430,1310,84,0,385,2313,314,0,1417,156,407,27,0,195,92
2013/8/31,15318,419,2,0,0,16,528,6492,364,0,0,26,1305,1295,72,0,354,2235,278,0,1431,138,372,14,0,138,61
2013/9/30,14148,341,0,0,0,0,483,5901,337,0,0,27,1200,1211,63,0,348,1954,259,0,1272,146,347,15,0,141,57
2013/10/31,15667,368,1,0,0,12,535,6097,359,0,0,23,1222,1268,55,0,390,2042,294,0,1362,146,311,10,0,200,39
2013/11/30,16100,348,0,0,0,13,538,6229,347,0,0,26,1424,1385,81,0,402,1979,253,0,1350,120,370,13,0,181,54
2013/12/31,15258,330,2,0,0,34,506,6195,341,0,0,53,1346,1494,82,0,356,2097,247,0,1379,130,413,12,0,152,82
2014/1/31,14377,324,0,0,0,14,455,6885,406,0,0,19,1208,1550,112,0,231,2273,282,0,1418,115,381,12,0,107,89
2014/2/28,13567,255,2,0,0,17,454,6603,324,0,0,21,1077,1476,86,0,276,2145,225,0,1256,119,387,13,0,123,59
2014/3/31,15298,336,1,0,0,26,520,7027,359,0,0,24,1246,1689,78,0,370,2166,249,0,1366,129,382,32,0,193,44
2014/4/30,14524,325,0,0,0,43,580,6605,360,0,0,36,1111,1665,73,0,307,2086,268,0,1361,133,317,19,0,136,114
2014/5/31,14786,317,0,0,0,34,506,6643,320,0,0,51,1076,1770,75,0,293,2051,231,0,1440,131,326,14,0,124,96
2014/6/30,14606,310,0,0,0,27,529,6249,342,0,0,46,1115,1725,64,0,353,1980,252,0,1354,131,293,26,0,209,85
2014/7/31,15635,338,1,0,0,34,603,6613,362,0,0,65,1212,1848,69,0,377,2180,268,0,1434,140,379,25,0,154,82
2014/8/31,14664,311,6,0,0,26,502,6977,383,0,0,35,1155,2006,77,0,310,2027,271,0,1366,157,366,35,0,162,80
2014/9/30,15196,306,1,0,0,41,541,7214,374,0,0,66,1123,2154,73,0,354,2006,259,0,1441,147,368,42,0,107,60
2014/10/31,16659,270,0,0,0,34,629,8048,440,0,0,64,1205,2302,98,0,373,2141,289,0,1548,171,373,53,0,190,69
2014/11/30,16054,150,0,0,0,9,519,8091,420,0,0,64,1329,2263,120,0,344,1979,255,0,1404,140,434,45,0,181,9
2014/12/31,17441,0,0,0,0,39,585,8746,484,0,0,44,1527,2397,168,0,346,2597,268,0,1442,159,601,48,0,154,51
2015/1/31,15249,0,0,0,0,14,557,9656,494,0,0,53,1399,2535,182,0,274,2298,264,0,1456,165,663,48,0,86,48
2015/2/28,14366,0,1,0,0,31,540,8715,448,0,0,63,1136,2365,106,0,317,1972,299,0,1316,155,471,43,0,119,57
2015/3/31,16361,0,2,0,0,30,607,9313,473,0,0,52,1439,2638,130,0,344,2267,298,0,1358,176,536,45,0,196,79
2015/4/30,15739,0,0,0,0,44,608,9083,439,0,0,42,1429,2474,110,0,278,2082,282,0,1477,172,500,47,0,103,117
2015/5/31,14683,0,0,0,0,59,526,9216,414,0,0,46,1296,2532,129,0,306,2077,237,0,1475,194,526,48,0,485,147
2015/6/30,15761,0,0,0,0,71,658,9265,498,0,0,47,1392,2518,123,0,411,2326,327,0,1512,192,485,48,0,234,131
2015/7/31,15770,0,1,0,0,45,607,10143,587,0,0,41,1634,2587,222,0,419,2374,317,0,1474,178,625,48,0,207,116
2015/8/31,15164,0,1,0,0,46,622,11177,625,0,0,42,1595,2662,206,0,430,2376,382,0,1424,162,594,37,0,143,83
2015/9/30,14920,0,0,0,0,55,588,10661,556,0,0,27,1501,2501,210,0,386,2282,309,0,1419,138,620,37,0,118,91
2015/10/31,17533,0,0,0,0,38,740,10606,565,0,0,35,1762,2720,217,0,500,2577,310,0,1404,150,618,38,0,187,50
2015/11/30,16518,0,0,0,0,30,662,10495,596,0,0,26,1712,2661,228,0,461,2326,333,0,1260,171,633,35,0,353,63
2015/12/31,17195,0,1,0,0,56,704,10941,623,0,0,31,1760,2702,227,0,441,2562,361,0,1350,167,638,35,0,158,129
2016/1/31,15345,0,0,0,0,44,606,11757,661,0,0,32,1637,2751,261,0,283,2446,351,0,1395,172,750,49,0,108,120
2016/2/28,16403,0,1,0,0,48,636,11389,563,0,0,22,1506,2600,163,0,379,2543,354,0,1420,190,589,46,0,189,137
2016/3/31,17669,0,0,0,0,54,711,11811,640,0,0,24,1661,2716,219,0,443,2513,389,0,1447,199,643,32,0,242,139
2016/4/30,16291,0,1,0,0,50,675,11205,666,0,0,28,1635,2518,241,0,417,2365,387,0,1388,168,669,38,0,186,133
2016/5/31,16226,0,0,0,0,45,705,12223,678,0,0,33,1616,2620,252,0,377,2341,384,0,1473,222,704,42,0,680,113
2016/6/30,17230,0,1,0,0,76,805,11752,662,0,0,41,1603,2603,196,0,462,2375,406,0,1510,205,575,60,0,167,150
2016/7/31,16745,0,0,0,0,31,719,12521,676,0,0,40,1632,2637,236,0,440,2300,396,0,1554,199,626,44,0,177,83
2016/8/31,16626,0,0,0,0,29,686,11827,677,0,0,31,1560,2628,218,0,487,2250,411,0,1613,207,567,48,0,203,79
2016/9/30,16371,0,0,0,0,37,712,11907,645,0,0,30,1492,2639,215,0,432,2146,375,0,1548,195,555,55,0,163,82
2016/10/31,17813,0,0,0,0,19,669,12605,635,0,0,42,1614,2722,218,0,514,2363,379,0,1655,201,590,38,0,219,103
2016/11/30,17987,0,0,0,0,22,734,12164,664,0,0,33,1746,2595,231,0,462,2241,393,0,1501,208,602,40,0,504,119
2016/12/31,18137,0,0,0,0,23,710,12629,727,0,0,39,1745,2706,256,0,522,2564,418,0,1562,202,671,53,0,202,82
2017/1/31,16585,0,0,0,0,15,669,13375,705,0,0,25,1630,2795,280,0,385,2520,391,0,1535,205,635,34,0,114,94
2017/2/28,16208,0,0,0,0,7,763,12678,636,0,0,67,1593,2551,231,0,443,2311,364,0,1389,218,541,41,0,171,82
2017/3/31,18199,0,0,0,0,25,833,13366,654,0,0,29,1807,2735,226,0,450,2510,375,0,1692,227,574,53,0,272,112
2017/4/30,15638,0,0,0,0,11,686,12039,602,0,0,37,1495,2488,126,0,365,2202,236,0,1465,169,568,240,0,124,62
2017/5/31,17302,0,0,0,0,27,735,12080,630,0,0,41,1622,2432,126,0,445,2433,320,0,1626,191,565,184,0,654,89
2017/6/30,17505,0,0,0,0,35,825,11732,631,0,0,52,1670,2488,144,0,549,2464,293,0,1610,194,522,194,0,206,94
2017/7/31,17793,0,0,0,0,19,882,13094,697,0,0,24,1927,2633,142,0,533,2577,335,0,1713,172,654,220,0,212,109
2017/8/31,18980,0,0,0,0,10,855,13111,684,0,0,112,1812,2605,134,0,553,2712,338,0,1654,184,617,212,0,208,117
2017/9/30,18258,0,0,0,0,21,823,12143,640,0,0,30,1730,2239,141,0,542,2454,301,0,1663,189,562,198,0,258,90
2017/10/31,18652,0,0,0,0,1,788,12906,658,0,0,55,1647,2285,157,0,513,2263,316,0,1655,186,573,185,0,216,94
2017/11/30,19638,0,1,0,0,10,794,12413,658,0,0,56,1866,2418,219,0,531,2403,289,0,1658,233,571,150,0,464,82
2017/12/31,19520,0,0,0,0,9,752,13000,706,0,0,54,1881,2519,246,0,500,2606,308,0,1621,203,694,152,0,223,71
2018/1/31,18523,0,0,0,0,6,744,13792,824,0,0,33,1926,2535,310,0,420,3073,337,0,1697,180,856,177,0,123,44
2018/2/28,17877,0,0,0,0,19,785,12819,688,0,0,47,1719,2299,230,0,473,2578,296,0,1462,170,674,162,0,154,56
2018/3/31,19539,0,0,0,0,6,862,12704,675,0,0,53,1876,2353,234,0,446,2627,300,0,1767,182,662,141,0,292,73
2018/4/30,17171,0,0,0,0,0,781,11646,681,0,0,63,1518,2442,220,0,426,2386,303,0,1529,194,627,158,0,92,127
2018/5/31,18991,0,0,0,0,0,786,12136,691,0,0,65,1683,2677,201,0,471,2610,340,0,1627,200,633,150,0,792,87
2018/6/30,18385,0,0,0,0,0,897,11758,638,0,0,84,1644,2556,191,0,525,2455,282,0,1616,181,541,165,0,208,90
2018/7/31,19202,0,0,0,0,0,908,12955,777,0,0,75,1850,2547,234,0,558,2571,366,0,1598,196,732,177,0,188,150
2018/8/31,19524,0,0,0,0,0,932,13486,685,0,0,60,1786,2685,207,0,518,2651,308,0,1635,231,664,170,0,201,170
2018/9/30,17546,0,0,0,0,0,818,12641,674,0,0,101,1655,2441,220,0,497,2252,317,0,1573,177,614,137,0,188,131
2018/10/31,20484,0,0,0,0,0,954,12653,736,0,0,102,1723,2442,236,0,581,2593,316,0,1626,207,600,184,0,210,61
2018/11/30,20360,0,0,0,0,0,921,13007,722,0,0,101,1926,2581,225,0,578,2512,331,0,1598,201,595,166,0,593,55
2018/12/31,19677,0,0,0,0,0,830,13038,772,0,0,101,1864,2459,262,0,522,2480,337,0,1726,176,684,173,0,205,129
2019/1/31,19721,0,0,0,0,0,887,14033,776,0,0,101,1872,2652,261,0,426,3226,339,0,1922,203,737,176,0,150,54
2019/2/28,17850,0,0,0,0,0,862,12385,685,0,0,102,1624,2425,193,0,515,2492,354,0,1636,196,507,138,0,162,46
2019/3/31,19500,0,0,0,0,0,965,12610,744,0,0,102,1901,2723,220,0,472,2624,341,0,1767,228,585,183,0,326,169
2019/4/30,18993,0,0,0,0,0,928,12809,764,0,0,105,1834,2592,241,0,516,2554,377,0,1702,245,631,146,0,127,185
2019/5/31,18986,0,0,0,0,0,880,12628,670,0,0,102,1752,2732,197,0,503,2713,312,0,1790,212,568,161,0,772,116
2019/6/30,18407,0,0,0,0,0,996,11999,714,0,0,100,1712,2676,181,0,644,2540,388,0,1549,201,508,145,0,222,90
2019/7/31,19904,0,1,0,0,0,978,12607,760,0,0,69,1825,2805,241,0,589,2694,341,0,1819,224,636,178,0,204,142
2019/8/31,19489,0,0,0,0,0,916,13399,810,0,0,57,1978,2781,261,0,659,2758,361,0,1811,233,718,188,0,171,79
2019/9/30,17762,0,0,0,0,0,860,12717,714,0,0,57,1721,2674,246,0,578,2459,280,0,1661,227,677,188,0,245,117
2019/10/31,19860,0,0,0,0,0,931,13144,739,0,0,78,1847,2673,245,0,604,2468,319,0,1826,262,709,175,0,219,128
2019/11/30,19827,0,0,0,0,0,908,12661,694,0,0,126,1847,2572,266,0,590,2625,271,0,1787,250,754,157,0,588,121
2019/12/31,20154,0,0,0,0,0,917,12964,720,0,0,142,1939,2628,256,0,588,2840,289,0,1686,235,777,175,0,253,99
2020/1/31,18598,0,0,0,0,0,811,13387,747,0,0,111,1797,2540,294,0,506,2830,281,0,1655,243,820,172,0,200,128
2020/2/28,17326,0,0,0,0,0,810,12818,677,0,0,129,1590,2555,227,0,508,2390,286,0,1549,255,670,164,0,236,97
2020/3/31,16958,0,0,0,0,0,825,12483,680,0,0,70,1508,2720,231,0,433,2094,307,0,1737,269,613,142,0,256,120
2020/4/30,14246,0,0,0,0,0,634,11417,578,0,0,55,1030,2531,195,0,73,1575,242,0,1671,248,521,141,0,23,227
2020/5/31,14480,0,0,0,0,0,618,11519,526,0,0,76,1137,2719,187,0,117,1697,209,0,1770,261,514,130,0,671,130
2020/6/30,16852,0,0,0,0,0,885,11355,670,0,0,78,1280,2651,200,0,388,1986,292,0,1775,268,492,178,0,220,198
2020/7/31,18304,0,0,0,0,0,868,11786,660,0,0,66,1591,2712,206,0,493,2360,308,0,1743,271,554,146,0,185,161
2020/8/31,17950,0,0,0,0,0,806,12104,730,0,0,72,1635,2691,255,0,503,2381,306,0,1788,269,675,169,0,219,170
2020/9/30,18543,0,0,0,0,0,960,12577,746,0,0,70,1707,2607,278,0,546,2375,270,0,1813,229,619,198,0,304,185
2020/10/31,22377,0,0,0,0,0,1206,12643,749,0,0,73,2017,2664,255,0,648,2803,242,0,1911,249,626,252,0,728,125
2020/11/30,18540,0,0,0,0,0,820,9749,339,0,0,64,1712,2480,69,0,505,2239,174,0,1794,239,373,96,0,765,110
2020/12/31,19056,0,0,0,0,0,925,9956,649,0,0,76,1801,2681,204,0,508,2358,284,0,1901,243,542,161,0,251,115
2021/1/31,17667,0,0,0,0,0,863,12198,633,0,0,81,1903,2628,203,0,495,2548,271,0,1912,239,580,159,0,138,130
2021/2/28,17598,0,0,0,0,0,946,10917,591,0,0,93,1641,2345,147,0,540,2313,256,0,1856,230,437,188,0,272,95
2021/3/31,20825,0,0,0,0,0,1122,11366,631,0,0,79,1871,2436,182,0,646,2681,276,0,1850,276,518,173,0,331,50
2021/4/30,19364,0,0,0,0,0,1005,11303,649,0,0,79,1630,2450,169,0,344,2603,294,0,1763,265,495,186,0,128,154
2021/5/31,18672,0,0,0,0,0,912,11247,603,0,0,67,1658,2558,156,0,386,2571,294,0,1681,221,476,153,0,838,134
2021/6/30,19556,0,0,0,0,1,1063,10548,697,0,0,81,1626,2505,231,0,569,2572,303,0,1613,238,446,163,0,346,138
2021/7/31,20122,0,0,0,0,0,1002,10728,741,0,0,74,1903,2611,255,0,579,2972,337,0,1571,212,547,149,0,289,81
2021/8/31,20584,0,0,0,0,0,971,12069,804,0,0,73,2435,2727,310,0,567,3678,342,0,1479,194,613,152,0,145,101
2021/9/30,19688,0,0,0,0,0,1000,11535,671,0,0,84,1847,2641,237,0,616,2817,255,0,1525,209,560,179,0,245,98
2021/10/31,21305,0,0,0,0,0,1059,11121,689,0,0,100,1798,2571,234,0,675,2786,284,0,1532,235,537,171,0,1063,53
2021/11/30,21167,0,2,0,0,0,1056,11030,676,0,0,110,1730,2436,219,0,650,2747,297,0,1573,236,515,160,0,882,140
2021/12/31,21452,0,0,0,0,0,1147,11544,712,0,0,96,1842,2556,254,0,610,2875,283,0,1694,242,625,175,0,584,124
2022/1/31,20949,0,0,0,0,0,990,11711,633,0,0,95,2686,2605,243,0,545,4505,252,0,1597,231,684,138,0,268,132
2022/2/28,20963,0,0,0,0,0,953,10920,593,0,0,68,3203,2420,183,0,498,5311,259,0,1487,217,491,151,0,301,74
2022/3/31,23635,0,0,0,0,0,1154,12003,693,0,0,102,2819,2653,204,0,554,4660,305,0,1653,263,528,184,0,447,136
2022/4/30,21468,0,0,0,0,0,1071,11692,650,0,0,108,2456,2582,191,0,395,4218,288,0,1748,253,500,171,0,293,167
2022/5/31,21140,0,0,0,0,0,1049,11909,677,0,0,98,2187,2755,195,0,442,3651,326,0,1738,269,471,156,0,906,164
2022/6/30,21716,0,0,0,0,0,1181,11253,691,0,0,119,1944,2653,187,0,564,3250,340,0,1681,286,493,164,0,412,122
2022/7/31,25745,0,0,0,0,0,1150,11725,725,0,0,96,4499,2706,211,0,515,7365,341,0,1678,284,633,173,0,369,84
2022/8/31,25688,0,0,0,0,0,975,11313,607,0,0,82,4396,2831,159,0,530,7592,303,0,1810,327,635,145,0,424,102
2022/9/30,21926,0,0,0,0,0,998,10238,577,0,0,99,2266,2299,163,0,532,4141,282,0,1614,281,455,132,0,570,62
2022/10/31,21524,0,1,0,0,0,1115,10536,627,0,0,105,1967,2499,177,0,578,3540,272,0,1680,309,495,178,0,514,146
2022/11/30,23689,0,0,0,0,0,1076,9443,587,0,0,90,2503,2232,168,0,581,3486,273,0,1660,287,508,146,0,1033,189
2022/12/31,24122,0,0,0,0,0,1077,10189,602,0,0,99,2812,2406,181,0,588,2212,257,0,1776,301,533,164,0,520,200
2023/1/31,20546,0,0,0,0,0,943,9251,521,0,0,89,1977,2404,125,0,521,851,270,0,1675,260,431,126,0,322,156
2023/2/28,18730,0,0,0,0,0,1009,8877,576,0,0,103,1465,2048,144,0,501,785,291,0,1633,271,415,141,0,270,156
2023/3/31,22107,0,0,0,0,0,1225,9308,620,0,0,102,1701,2239,153,0,594,998,303,0,1791,283,470,164,0,470,145
2023/4/30,19208,0,0,0,0,0,1065,9028,541,0,0,81,1469,2491,119,0,446,2495,280,0,1582,237,393,142,0,166,104
2023/5/31,20335,0,0,0,0,0,1010,9582,623,0,0,74,1511,2442,174,0,509,2625,313,0,1752,262,458,136,0,761,125
2023/6/30,21591,0,0,0,0,0,1136,9775,719,0,0,82,1620,2223,248,0,550,2899,310,0,1685,267,457,161,0,547,165
2023/7/31,20793,0,0,0,0,0,1058,11200,745,0,0,74,1691,2533,261,0,514,3103,322,0,1694,251,615,162,0,287,161
2023/8/31,21913,0,0,0,0,0,1057,11738,787,0,0,96,1886,2638,297,0,537,3306,344,0,1711,245,618,146,0,306,179
2023/9/30,21272,0,0,0,0,0,1024,11311,661,0,0,84,1675,2645,238,0,489,3190,289,0,1620,249,529,134,0,323,147
2023/10/31,22574,0,0,0,0,0,1035,11690,713,0,0,70,1610,2787,248,0,574,2924,314,0,1746,230,575,151,0,1112,148
2023/11/30,21481,0,0,0,0,0,1097,11586,703,0,0,60,1627,2748,249,0,536,2874,304,0,1764,244,514,150,0,965,214
2023/12/31,22188,0,0,0,0,0,1041,11424,697,0,0,66,1688,2626,268,0,528,3273,281,0,1813,248,514,148,0,461,149
2024/1/31,20234,0,0,0,0,0,1059,11514,673,0,0,55,1683,1372,249,0,511,3344,282,0,1777,225,521,142,0,308,152
2024/2/29,20502,0,0,0,0,0,1109,10982,670,0,0,54,1587,1261,219,0,535,2969,286,0,1652,230,431,165,0,386,178
2024/3/31,21312,0,0,0,0,0,1135,11367,670,0,0,55,1586,1254,256,0,563,2778,267,0,1655,247,478,147,0,420,218
2024/4/30,20120,0,0,0,0,0,1154,10802,642,0,0,59,1340,1130,174,0,482,2501,279,0,1632,269,359,189,0,178,197
2024/5/31,20764,0,0,0,0,0,1057,10542,638,0,0,59,1371,966,205,0,512,2580,274,0,1636,254,430,159,0,854,131
2024/6/30,20471,0,0,0,0,0,1147,10643,777,0,0,64,1487,921,258,0,527,2497,342,0,1541,243,458,177,0,321,178
2024/7/31,21662,0,0,0,0,0,1243,11954,829,0,0,69,1571,1087,269,0,560,3056,356,0,1550,261,504,204,0,277,180
2024/8/31,20664,0,0,0,0,0,1131,11341,790,0,0,67,1592,631,312,0,548,2721,306,0,1543,264,534,172,0,283,95
